power_rank,team,power_score,elo_final,elo_std,PCT,PTS,GD,xGD,xGDpg,GF,GA,xGF,xGA
1,brazil,2.0796473309513437,1595.4550549187181,0.0,0.7439024390243902,122,87,50.65270000000004,0.6177158536585371,276,189,272.4793,221.82659999999998
2,thailand,1.6260654023061634,1566.542381053621,0.0,0.6524390243902439,107,46,73.0752,0.891160975609756,294,248,294.7369,221.6617
3,netherlands,1.4898913727134344,1566.445547499537,0.0,0.6951219512195121,114,69,40.69540000000001,0.4962853658536586,243,174,242.4986,201.8032
4,peru,1.4196919479253312,1567.008242981877,0.0,0.6829268292682927,112,78,29.616299999999995,0.3611743902439024,256,178,244.5499,214.9336
5,pakistan,1.4169529309057678,1561.9260136335781,0.0,0.6463414634146342,106,51,51.2414,0.6248951219512195,263,212,284.7034,233.462
6,china,1.23368643660599,1558.7922432792013,0.0,0.6158536585365854,101,46,34.9384,0.42607804878048783,239,193,255.917,220.9786
7,uk,0.7539757356270285,1533.4464848765776,0.0,0.5548780487804879,91,33,36.31110000000001,0.44281829268292694,244,211,276.3125,240.0014
8,india,0.509365045142893,1524.7824463004572,0.0,0.6341463414634146,104,28,1.4036000000000115,0.01711707317073185,221,193,239.3359,237.9323
9,panama,0.4716208575912683,1518.6322101094622,0.0,0.6158536585365854,101,42,16.061499999999995,0.19587195121951215,255,213,257.4552,241.3937
10,mexico,0.3169670261324803,1506.6808864016637,0.0,0.5304878048780488,87,-17,41.19279999999998,0.5023512195121949,236,253,263.9575,222.7647
11,guatemala,0.2940965261489947,1509.4731809695236,0.0,0.5609756097560976,92,-5,22.877999999999986,0.2789999999999998,231,236,255.688,232.81
12,iceland,0.278190046880672,1519.092159464218,0.0,0.6158536585365854,101,29,-18.6113,-0.2269670731707317,238,209,230.0624,248.6737
13,serbia,0.22671578027742822,1510.6725610728558,0.0,0.5365853658536586,88,5,13.113900000000001,0.15992560975609757,269,264,277.2881,264.1742
14,new_zealand,0.13018489185257365,1509.2947317459987,0.0,0.524390243902439,86,-7,2.9333000000000027,0.03577195121951223,219,226,241.2646,238.3313
15,france,0.04381974114667764,1493.900744456879,0.0,0.5182926829268293,85,-24,32.5129,0.3964987804878049,241,265,266.6524,234.1395
16,ethiopia,-0.018360111120702023,1503.903760973066,0.0,0.5975609756097561,98,20,-23.268200000000007,-0.28375853658536593,267,247,239.4199,262.6881
17,south_korea,-0.024237603484171526,1497.7527931750656,0.0,0.524390243902439,86,-14,8.655899999999974,0.10555975609756066,288,302,259.8572,251.2013
18,philippines,-0.14191566973194286,1495.5789210371368,0.0,0.6036585365853658,99,12,-22.54909999999998,-0.2749890243902437,198,186,213.5851,236.1342
19,indonesia,-0.22499578147380436,1494.6214912537594,0.0,0.5487804878048781,90,11,-22.437300000000022,-0.27362560975609784,221,210,215.9004,238.3377
20,morocco,-0.25963035155910724,1484.7252540388888,0.0,0.5182926829268293,85,-20,5.8785000000000025,0.07168902439024394,249,269,249.5033,243.6248
21,canada,-0.40290897112725815,1476.2455233692792,0.0,0.5060975609756098,83,-43,7.549700000000001,0.09206951219512197,222,265,241.1339,233.5842
22,saudi_arabia,-0.40772890820574104,1481.9879123298492,0.0,0.5182926829268293,85,-10,-12.002900000000011,-0.14637682926829282,195,205,218.9647,230.9676
23,germany,-0.5983410394564604,1474.1963242330737,0.0,0.47560975609756095,78,-21,-13.894899999999978,-0.16944999999999974,253,274,239.1072,253.00209999999998
24,singapore,-0.704346284905894,1470.5809794082484,0.0,0.573170731707317,94,-14,-42.96380000000005,-0.5239487804878055,255,269,257.0207,299.9845
25,switzerland,-0.8414675469466857,1464.3255942739127,0.0,0.49390243902439024,81,-28,-32.09,-0.39134146341463416,201,229,205.292,237.382
26,uae,-0.9008601681245525,1457.0090747240954,0.0,0.5365853658536586,88,-48,-30.968700000000013,-0.37766707317073184,202,250,211.3954,242.3641
27,vietnam,-0.9025795334969287,1461.4150560863045,0.0,0.5487804878048781,90,-34,-46.23780000000002,-0.5638756097560979,223,257,225.7784,272.0162
28,oman,-0.9927818162282438,1457.7583601275692,0.0,0.4695121951219512,77,-42,-34.55549999999997,-0.4214085365853654,241,283,244.93710000000002,279.4926
29,usa,-1.1482793237323337,1446.7029267341256,0.0,0.4878048780487805,80,-47,-34.30449999999999,-0.41834756097560966,240,287,247.3928,281.6973
30,kazakhstan,-1.2726200558654204,1441.0530547226458,0.0,0.4024390243902439,66,-55,-21.61620000000002,-0.26361219512195144,193,248,209.8053,231.4215
31,rwanda,-1.449280178100093,1433.0645014277081,0.0,0.4146341463414634,68,-63,-32.3124,-0.3940536585365853,202,265,223.8094,256.1218
32,mongolia,-2.0005377286487054,1416.9335833211035,0.0,0.40853658536585363,67,-65,-80.89800000000002,-0.9865609756097564,179,244,187.599,268.497
